"date","time","days","bottle","vol"
"24-07-2014","10:00",48.85,11,240
"24-07-2014","10:00",48.85,12,240
"28-07-2014","13:00",52.88,16,330
"28-07-2014","13:00",52.88,17,302
"28-07-2014","13:00",52.88,18,250
"28-07-2014","13:00",52.88,19,470
"28-07-2014","13:00",52.88,20,210
"28-07-2014","13:00",52.88,21,234
"31-07-2014","13:00",55.88,13,83
"31-07-2014","13:00",55.88,14,101
"31-07-2014","13:00",55.88,15,119
"31-07-2014","13:00",55.88,16,120
"31-07-2014","13:00",55.88,17,113
"31-07-2014","13:00",55.88,18,115
"31-07-2014","13:00",55.88,19,145
"31-07-2014","13:00",55.88,20,117
"31-07-2014","13:00",55.88,21,119
"31-07-2014","13:00",55.88,22,100
"31-07-2014","13:00",55.88,23,107
"31-07-2014","13:00",55.88,24,105
"31-07-2014","13:00",55.98,1,140
"31-07-2014","13:00",55.98,2,141
"31-07-2014","13:00",55.98,3,138
"31-07-2014","13:00",55.98,4,220
"31-07-2014","13:00",55.98,5,207
"31-07-2014","13:00",55.98,6,212
"31-07-2014","13:00",55.98,7,227
"31-07-2014","13:00",55.98,8,265
"31-07-2014","13:00",55.98,9,266
"31-07-2014","13:00",55.98,10,161
"31-07-2014","13:00",55.98,11,166
"31-07-2014","13:00",55.98,12,167
"14-08-2014","13:00",69.88,13,170
"14-08-2014","13:00",69.88,14,190
"14-08-2014","13:00",69.88,15,203
"14-08-2014","13:00",69.88,16,340
"14-08-2014","13:00",69.88,17,310
"14-08-2014","13:00",69.88,18,360
"14-08-2014","13:00",69.88,19,225
"14-08-2014","13:00",69.88,20,470
"14-08-2014","13:00",69.88,21,300
"14-08-2014","13:00",69.88,22,141
"14-08-2014","13:00",69.88,23,125
"14-08-2014","13:00",69.88,24,175
"14-08-2014","13:00",69.98,1,170
"14-08-2014","13:00",69.98,2,180
"14-08-2014","13:00",69.98,3,175
"14-08-2014","13:00",69.98,4,260
"14-08-2014","13:00",69.98,5,270
"14-08-2014","13:00",69.98,6,280
"14-08-2014","13:00",69.98,7,260
"14-08-2014","13:00",69.98,8,280
"14-08-2014","13:00",69.98,9,278
"14-08-2014","13:00",69.98,10,207
"14-08-2014","13:00",69.98,11,210
"14-08-2014","13:00",69.98,12,210
"28-08-2014","10:00",83.75,13,160
"28-08-2014","10:00",83.75,14,145
"28-08-2014","10:00",83.75,15,185
"28-08-2014","10:00",83.75,16,205
"28-08-2014","10:00",83.75,17,238
"28-08-2014","10:00",83.75,18,180
"28-08-2014","10:00",83.75,19,200
"28-08-2014","10:00",83.75,20,180
"28-08-2014","10:00",83.75,21,160
"28-08-2014","10:00",83.75,22,135
"28-08-2014","10:00",83.75,23,105
"28-08-2014","10:00",83.75,24,152
"28-08-2014","10:00",83.85,1,170
"28-08-2014","10:00",83.85,2,180
"28-08-2014","10:00",83.85,3,170
"28-08-2014","10:00",83.85,4,255
"28-08-2014","10:00",83.85,5,260
"28-08-2014","10:00",83.85,6,261
"28-08-2014","10:00",83.85,7,222
"28-08-2014","10:00",83.85,8,240
"28-08-2014","10:00",83.85,9,240
"28-08-2014","10:00",83.85,10,200
"28-08-2014","10:00",83.85,11,360
"28-08-2014","10:00",83.85,12,201
"06-10-2014","10:45",122.8,13,160
"06-10-2014","10:45",122.8,14,168
"06-10-2014","10:45",122.8,15,117
"06-10-2014","10:45",122.8,16,370
"06-10-2014","10:45",122.8,17,349
"06-10-2014","10:45",122.8,18,369
"06-10-2014","10:45",122.8,19,305
"06-10-2014","10:45",122.8,20,301
"06-10-2014","10:45",122.8,21,391
"06-10-2014","10:45",122.8,22,165
"06-10-2014","10:45",122.8,23,176
"06-10-2014","10:45",122.8,24,177
"06-10-2014","10:45",122.9,1,312
"06-10-2014","10:45",122.9,2,333
"06-10-2014","10:45",122.9,3,325
"06-10-2014","10:45",122.9,4,485
"06-10-2014","10:45",122.9,5,500
"06-10-2014","10:45",122.9,6,499
"06-10-2014","10:45",122.9,7,420
"06-10-2014","10:45",122.9,8,430
"06-10-2014","10:45",122.9,9,445
"06-10-2014","10:45",122.9,10,383
"06-10-2014","10:45",122.9,11,380
"06-10-2014","10:45",122.9,12,396
"13-10-2014","13:00",129.9,13,45
"13-10-2014","13:00",129.9,14,55
"13-10-2014","13:00",129.9,15,60
"13-10-2014","13:00",129.9,16,83
"13-10-2014","13:00",129.9,17,65
"13-10-2014","13:00",129.9,18,80
"13-10-2014","13:00",129.9,19,108
"13-10-2014","13:00",129.9,20,95
"13-10-2014","13:00",129.9,21,95
"13-10-2014","13:00",129.9,22,55
"13-10-2014","13:00",129.9,23,50
"13-10-2014","13:00",129.9,24,52
"13-10-2014","13:00",130,1,98
"13-10-2014","13:00",130,2,110
"13-10-2014","13:00",130,3,98
"13-10-2014","13:00",130,4,135
"13-10-2014","13:00",130,5,135
"13-10-2014","13:00",130,6,153
"13-10-2014","13:00",130,7,135
"13-10-2014","13:00",130,8,137
"13-10-2014","13:00",130,9,132
"13-10-2014","13:00",130,10,120
"13-10-2014","13:00",130,11,205
"13-10-2014","13:00",130,12,105
"28-10-2014","9:00",144.7,13,34
"28-10-2014","9:00",144.7,14,47
"28-10-2014","9:00",144.7,15,55
"02-12-2014","9:45",179.7,22,117
"02-12-2014","9:45",179.7,23,118
"02-12-2014","9:45",179.7,24,123
"19-12-2014","10:30",196.8,16,195
"19-12-2014","10:30",196.8,17,171
"19-12-2014","10:30",196.8,18,180
"19-12-2014","10:30",196.8,19,423
"19-12-2014","10:30",196.8,20,211
"19-12-2014","10:30",196.8,21,188
"19-12-2014","10:30",196.9,1,283
"19-12-2014","10:30",196.9,2,299
"19-12-2014","10:30",196.9,3,304
"19-12-2014","10:30",196.9,4,459
"19-12-2014","10:30",196.9,5,456
"19-12-2014","10:30",196.9,6,452
"19-12-2014","10:30",196.9,7,402
"19-12-2014","10:30",196.9,8,422
"19-12-2014","10:30",196.9,9,445
"19-12-2014","10:30",196.9,10,371
"19-12-2014","10:30",196.9,11,360
"19-12-2014","10:30",196.9,12,362
"25-04-2015","20:40",324.2,16,195
"25-04-2015","20:40",324.2,17,215
"25-04-2015","20:40",324.2,18,210
"25-04-2015","20:40",324.2,19,275
"25-04-2015","20:40",324.2,20,214
"25-04-2015","20:40",324.2,21,209
"25-04-2015","20:40",324.3,1,376
"25-04-2015","20:40",324.3,2,380
"25-04-2015","20:40",324.3,3,377
"25-04-2015","20:40",324.3,4,523
"25-04-2015","20:40",324.3,5,555
"25-04-2015","20:40",324.3,6,539
"25-04-2015","20:40",324.3,7,464
"25-04-2015","20:40",324.3,8,495
"25-04-2015","20:40",324.3,9,517
"25-04-2015","20:40",324.3,10,405
"25-04-2015","20:40",324.3,11,420
"25-04-2015","20:40",324.3,12,415
